,City,Latitude,Longitude,Temperature (F),Humidity,Clouds,Wind Speed (mph)
0,ostrovnoy,68.05,39.51,51.3,88,100,17.25
1,mahebourg,-20.41,57.7,68.0,94,75,11.41
2,qaanaaq,77.48,-69.36,37.92,77,100,6.82
3,zhuhai,22.28,113.57,81.63,94,40,8.05
4,cape town,-33.93,18.42,53.6,66,0,9.17
5,atuona,-9.8,-139.03,79.36,76,42,16.75
6,flinders,-34.58,150.86,65.8,52,89,4.0
7,opuwo,-18.06,13.84,54.3,40,0,9.06
8,tiksi,71.69,128.87,50.23,67,72,4.54
9,pushkinskiye gory,57.02,28.91,49.96,90,86,2.51
10,aykhal,66.0,111.5,73.4,31,0,2.24
11,castro,-24.79,-50.01,50.47,95,0,3.38
12,avarua,-21.21,-159.78,71.6,64,100,3.36
13,saskylakh,71.92,114.08,74.79,36,100,8.39
14,constitucion,-35.33,-72.42,54.34,91,100,5.17
15,albany,42.6,-73.97,72.52,59,99,2.8
16,vilyuysk,63.76,121.62,78.37,33,0,7.63
17,ushuaia,-54.8,-68.3,37.4,85,99,3.36
18,bambous virieux,-20.34,57.76,68.49,94,75,11.41
19,kodinsk,58.69,99.18,73.27,48,100,6.38
20,teknaf,20.86,92.31,88.03,69,99,2.53
21,busselton,-33.65,115.33,57.29,88,43,1.99
22,ambon,-3.7,128.18,80.6,74,40,2.24
23,maragogi,-9.01,-35.22,73.38,87,33,9.69
24,fallon,39.47,-118.78,82.4,10,1,9.17
25,kantang,7.41,99.52,86.0,74,20,9.17
26,colonelganj,27.13,81.7,90.95,60,0,3.42
27,punta arenas,-53.15,-70.92,34.43,100,100,10.29
28,rikitea,-23.12,-134.97,73.38,80,19,4.5
29,new norfolk,-42.78,147.06,54.21,46,92,4.0
30,gobabis,-22.45,18.97,44.6,33,0,3.36
31,qingdao,36.1,120.37,86.0,79,100,8.95
32,port hardy,50.7,-127.42,71.6,53,75,14.99
33,arman,59.7,150.17,63.27,50,34,8.52
34,mamakan,57.82,114.0,76.08,51,43,9.53
35,bethel,41.37,-73.41,73.42,69,1,6.93
36,clinton,42.59,-82.92,70.95,100,90,8.05
37,varhaug,58.61,5.65,57.33,99,100,1.99
38,ayan,56.45,138.17,53.67,87,100,11.56
39,mayor pablo lagerenza,-19.93,-60.77,71.89,43,44,4.56
40,hermanus,-34.42,19.23,60.82,44,0,4.7
41,torbay,47.67,-52.73,57.74,100,90,3.36
42,yellowknife,62.46,-114.35,76.73,50,75,14.99
43,kruisfontein,-34.0,24.73,56.39,42,0,12.71
44,puerto ayora,-0.74,-90.35,68.0,94,96,6.91
45,rosita,13.93,-84.4,75.22,97,64,2.55
46,beloha,-25.17,45.05,58.35,81,0,10.45
47,port elizabeth,-33.92,25.57,48.2,93,0,5.82
48,port alfred,-33.59,26.89,58.01,54,0,7.92
49,garchitorena,13.88,123.69,85.84,62,100,0.85
50,kodiak,57.79,-152.41,57.2,87,90,6.93
51,mar del plata,-38.0,-57.56,49.82,87,100,3.36
52,taybad,34.74,60.78,79.16,22,0,10.4
53,cabo san lucas,22.89,-109.91,87.8,45,5,6.93
54,tiarei,-17.53,-149.33,80.31,69,40,12.75
55,khatanga,71.97,102.5,65.03,79,100,7.94
56,pisco,-13.7,-76.22,55.99,87,0,3.65
57,kolyvan,55.31,82.74,75.2,60,0,2.24
58,hofn,64.25,-15.21,51.13,96,100,12.33
59,bontang,0.13,117.5,80.83,81,93,0.56
60,sault sainte marie,46.52,-84.33,66.2,88,75,1.52
61,zhigansk,66.77,123.37,67.24,41,1,15.88
62,thompson,55.74,-97.86,57.2,82,20,1.48
63,pevek,69.7,170.31,36.84,90,93,5.53
64,nanortalik,60.14,-45.24,45.48,94,100,15.97
65,bilibino,68.05,166.44,48.49,75,100,4.83
66,dikson,73.51,80.55,51.62,78,11,17.2
67,hambantota,6.12,81.12,80.6,94,40,9.17
68,beja,36.73,9.18,70.68,88,0,1.12
69,fortuna,40.6,-124.16,59.02,91,14,4.52
70,ponta do sol,32.67,-17.1,66.85,78,20,12.75
71,qasigiannguit,68.82,-51.19,44.6,93,81,1.12
72,butaritari,3.07,172.79,84.02,75,9,16.04
73,virginia beach,36.85,-75.98,75.56,88,40,4.7
74,hobyo,5.35,48.53,77.83,67,43,24.56
75,saint george,37.1,-113.58,97.52,8,1,5.82
76,pontes e lacerda,-15.23,-59.34,71.64,39,0,3.67
77,khor,47.89,134.95,82.58,75,60,7.76
78,crotone,39.09,17.12,80.2,60,0,5.5
79,baglung,28.27,83.59,81.12,63,83,4.03
80,raglan,-37.8,174.88,57.65,61,99,13.0
81,jamestown,42.1,-79.24,66.99,88,90,5.82
82,sur,22.57,59.53,84.0,72,76,8.12
83,araouane,18.9,-3.53,92.39,43,0,16.67
84,emerald,-23.53,148.17,74.66,33,0,10.29
85,launceston,-41.45,147.17,55.17,58,75,18.34
